Network,Crossed_line_count,Distance,Speed,Steer,Model,Epoch,Loss
Spatial,4.154017857142857,167.05118942628792,3.4267410714285704,5.211476994655001,9.0,23.0,0.07000000000000024
Spatiotemporal,4.073660714285714,191.33907910441343,3.350491071428575,4.977823284951199,13.0,16.0,0.05799999999999984
Temporal,3.890625,163.61752779469043,6.461160714285716,3.9655629010600486,25.0,26.0,0.0919999999999993
